SOURCE_KEY,DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
1BY6WEcLGh8j5v7,2020-05-19 00:00:00,0.0,0.0,624.75,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 00:00:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 00:00:00,0.0,0.0,679.375,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 00:00:00,0.0,0.0,758.4285714,7628372.0
McdE0feGgRqW7Ca,2020-05-19 00:00:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 00:00:00,0.0,0.0,779.5714286,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 00:00:00,0.0,0.0,668.5,7054452.0
YxYtjZvoooNbGkE,2020-05-19 00:00:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 00:00:00,0.0,0.0,774.8571429,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 00:00:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 00:00:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 00:00:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 00:00:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 00:00:00,0.0,0.0,755.1428571,6210487.0
pkci93gMrogZuBj,2020-05-19 00:00:00,0.0,0.0,766.2857143,7194411.0
rGa61gmuvPhdLxV,2020-05-19 00:00:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 00:00:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 00:00:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 00:00:00,0.0,0.0,0.0,6808393.0
z9Y9gH1T5YWrNuG,2020-05-19 00:00:00,0.0,0.0,763.8571429,7033573.0
zBIq5rxdHJRwDNY,2020-05-19 00:00:00,0.0,0.0,0.0,6365047.0
zVJPv84UY57bAof,2020-05-19 00:00:00,0.0,0.0,0.0,7141405.0
1BY6WEcLGh8j5v7,2020-05-19 00:15:00,0.0,0.0,0.0,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 00:15:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 00:15:00,0.0,0.0,0.0,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 00:15:00,0.0,0.0,0.0,7628372.0
McdE0feGgRqW7Ca,2020-05-19 00:15:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 00:15:00,0.0,0.0,0.0,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 00:15:00,0.0,0.0,0.0,7054452.0
YxYtjZvoooNbGkE,2020-05-19 00:15:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 00:15:00,0.0,0.0,0.0,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 00:15:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 00:15:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 00:15:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 00:15:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 00:15:00,0.0,0.0,0.0,6210487.0
pkci93gMrogZuBj,2020-05-19 00:15:00,0.0,0.0,0.0,7194411.0
rGa61gmuvPhdLxV,2020-05-19 00:15:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 00:15:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 00:15:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 00:15:00,0.0,0.0,0.0,6808393.0
z9Y9gH1T5YWrNuG,2020-05-19 00:15:00,0.0,0.0,0.0,7033573.0
zBIq5rxdHJRwDNY,2020-05-19 00:15:00,0.0,0.0,0.0,6365047.0
zVJPv84UY57bAof,2020-05-19 00:15:00,0.0,0.0,0.0,7141405.0
1BY6WEcLGh8j5v7,2020-05-19 00:30:00,0.0,0.0,0.0,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 00:30:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 00:30:00,0.0,0.0,0.0,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 00:30:00,0.0,0.0,0.0,7628372.0
McdE0feGgRqW7Ca,2020-05-19 00:30:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 00:30:00,0.0,0.0,0.0,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 00:30:00,0.0,0.0,0.0,7054452.0
YxYtjZvoooNbGkE,2020-05-19 00:30:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 00:30:00,0.0,0.0,0.0,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 00:30:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 00:30:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 00:30:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 00:30:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 00:30:00,0.0,0.0,0.0,6210487.0
pkci93gMrogZuBj,2020-05-19 00:30:00,0.0,0.0,0.0,7194411.0
rGa61gmuvPhdLxV,2020-05-19 00:30:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 00:30:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 00:30:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 00:30:00,0.0,0.0,0.0,6808393.0
z9Y9gH1T5YWrNuG,2020-05-19 00:30:00,0.0,0.0,0.0,7033573.0
zBIq5rxdHJRwDNY,2020-05-19 00:30:00,0.0,0.0,0.0,6365047.0
zVJPv84UY57bAof,2020-05-19 00:30:00,0.0,0.0,0.0,7141405.0
1BY6WEcLGh8j5v7,2020-05-19 00:45:00,0.0,0.0,0.0,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 00:45:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 00:45:00,0.0,0.0,0.0,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 00:45:00,0.0,0.0,0.0,7628372.0
McdE0feGgRqW7Ca,2020-05-19 00:45:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 00:45:00,0.0,0.0,0.0,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 00:45:00,0.0,0.0,0.0,7054452.0
YxYtjZvoooNbGkE,2020-05-19 00:45:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 00:45:00,0.0,0.0,0.0,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 00:45:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 00:45:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 00:45:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 00:45:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 00:45:00,0.0,0.0,0.0,6210487.0
pkci93gMrogZuBj,2020-05-19 00:45:00,0.0,0.0,0.0,7194411.0
rGa61gmuvPhdLxV,2020-05-19 00:45:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 00:45:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 00:45:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 00:45:00,0.0,0.0,0.0,6808393.0
z9Y9gH1T5YWrNuG,2020-05-19 00:45:00,0.0,0.0,0.0,7033573.0
zBIq5rxdHJRwDNY,2020-05-19 00:45:00,0.0,0.0,0.0,6365047.0
zVJPv84UY57bAof,2020-05-19 00:45:00,0.0,0.0,0.0,7141405.0
1BY6WEcLGh8j5v7,2020-05-19 01:00:00,0.0,0.0,0.0,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 01:00:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 01:00:00,0.0,0.0,0.0,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 01:00:00,0.0,0.0,0.0,7628372.0
McdE0feGgRqW7Ca,2020-05-19 01:00:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 01:00:00,0.0,0.0,0.0,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 01:00:00,0.0,0.0,0.0,7054452.0
YxYtjZvoooNbGkE,2020-05-19 01:00:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 01:00:00,0.0,0.0,0.0,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 01:00:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 01:00:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 01:00:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 01:00:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 01:00:00,0.0,0.0,0.0,6210487.0
pkci93gMrogZuBj,2020-05-19 01:00:00,0.0,0.0,0.0,7194411.0
rGa61gmuvPhdLxV,2020-05-19 01:00:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 01:00:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 01:00:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 01:00:00,0.0,0.0,0.0,6808393.0
z9Y9gH1T5YWrNuG,2020-05-19 01:00:00,0.0,0.0,0.0,7033573.0
zBIq5rxdHJRwDNY,2020-05-19 01:00:00,0.0,0.0,0.0,6365047.0
zVJPv84UY57bAof,2020-05-19 01:00:00,0.0,0.0,0.0,7141405.0
1BY6WEcLGh8j5v7,2020-05-19 01:15:00,0.0,0.0,0.0,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 01:15:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 01:15:00,0.0,0.0,0.0,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 01:15:00,0.0,0.0,0.0,7628372.0
McdE0feGgRqW7Ca,2020-05-19 01:15:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 01:15:00,0.0,0.0,0.0,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 01:15:00,0.0,0.0,0.0,7054452.0
YxYtjZvoooNbGkE,2020-05-19 01:15:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 01:15:00,0.0,0.0,0.0,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 01:15:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 01:15:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 01:15:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 01:15:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 01:15:00,0.0,0.0,0.0,6210487.0
pkci93gMrogZuBj,2020-05-19 01:15:00,0.0,0.0,0.0,7194411.0
rGa61gmuvPhdLxV,2020-05-19 01:15:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 01:15:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 01:15:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 01:15:00,0.0,0.0,0.0,6808393.0
z9Y9gH1T5YWrNuG,2020-05-19 01:15:00,0.0,0.0,0.0,7033573.0
zBIq5rxdHJRwDNY,2020-05-19 01:15:00,0.0,0.0,0.0,6365047.0
zVJPv84UY57bAof,2020-05-19 01:15:00,0.0,0.0,0.0,7141405.0
1BY6WEcLGh8j5v7,2020-05-19 01:30:00,0.0,0.0,0.0,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 01:30:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 01:30:00,0.0,0.0,0.0,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 01:30:00,0.0,0.0,0.0,7628372.0
McdE0feGgRqW7Ca,2020-05-19 01:30:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 01:30:00,0.0,0.0,0.0,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 01:30:00,0.0,0.0,0.0,7054452.0
YxYtjZvoooNbGkE,2020-05-19 01:30:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 01:30:00,0.0,0.0,0.0,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 01:30:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 01:30:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 01:30:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 01:30:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 01:30:00,0.0,0.0,0.0,6210487.0
pkci93gMrogZuBj,2020-05-19 01:30:00,0.0,0.0,0.0,7194411.0
rGa61gmuvPhdLxV,2020-05-19 01:30:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 01:30:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 01:30:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 01:30:00,0.0,0.0,0.0,6808393.0
z9Y9gH1T5YWrNuG,2020-05-19 01:30:00,0.0,0.0,0.0,7033573.0
zBIq5rxdHJRwDNY,2020-05-19 01:30:00,0.0,0.0,0.0,6365047.0
zVJPv84UY57bAof,2020-05-19 01:30:00,0.0,0.0,0.0,7141405.0
1BY6WEcLGh8j5v7,2020-05-19 01:45:00,0.0,0.0,0.0,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 01:45:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 01:45:00,0.0,0.0,0.0,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 01:45:00,0.0,0.0,0.0,7628372.0
McdE0feGgRqW7Ca,2020-05-19 01:45:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 01:45:00,0.0,0.0,0.0,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 01:45:00,0.0,0.0,0.0,7054452.0
YxYtjZvoooNbGkE,2020-05-19 01:45:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 01:45:00,0.0,0.0,0.0,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 01:45:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 01:45:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 01:45:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 01:45:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 01:45:00,0.0,0.0,0.0,6210487.0
pkci93gMrogZuBj,2020-05-19 01:45:00,0.0,0.0,0.0,7194411.0
rGa61gmuvPhdLxV,2020-05-19 01:45:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 01:45:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 01:45:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 01:45:00,0.0,0.0,0.0,6808393.0
z9Y9gH1T5YWrNuG,2020-05-19 01:45:00,0.0,0.0,0.0,7033573.0
zBIq5rxdHJRwDNY,2020-05-19 01:45:00,0.0,0.0,0.0,6365047.0
zVJPv84UY57bAof,2020-05-19 01:45:00,0.0,0.0,0.0,7141405.0
1BY6WEcLGh8j5v7,2020-05-19 02:00:00,0.0,0.0,0.0,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 02:00:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 02:00:00,0.0,0.0,0.0,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 02:00:00,0.0,0.0,0.0,7628372.0
McdE0feGgRqW7Ca,2020-05-19 02:00:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 02:00:00,0.0,0.0,0.0,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 02:00:00,0.0,0.0,0.0,7054452.0
YxYtjZvoooNbGkE,2020-05-19 02:00:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 02:00:00,0.0,0.0,0.0,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 02:00:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 02:00:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 02:00:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 02:00:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 02:00:00,0.0,0.0,0.0,6210487.0
pkci93gMrogZuBj,2020-05-19 02:00:00,0.0,0.0,0.0,7194411.0
rGa61gmuvPhdLxV,2020-05-19 02:00:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 02:00:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 02:00:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 02:00:00,0.0,0.0,0.0,6808393.0
z9Y9gH1T5YWrNuG,2020-05-19 02:00:00,0.0,0.0,0.0,7033573.0
zBIq5rxdHJRwDNY,2020-05-19 02:00:00,0.0,0.0,0.0,6365047.0
zVJPv84UY57bAof,2020-05-19 02:00:00,0.0,0.0,0.0,7141405.0
1BY6WEcLGh8j5v7,2020-05-19 02:15:00,0.0,0.0,0.0,6283648.0
1IF53ai7Xc0U56Y,2020-05-19 02:15:00,0.0,0.0,0.0,6209806.0
3PZuoBAID5Wc2HD,2020-05-19 02:15:00,0.0,0.0,0.0,7013918.0
7JYdWkrLSPkdwr4,2020-05-19 02:15:00,0.0,0.0,0.0,7628372.0
McdE0feGgRqW7Ca,2020-05-19 02:15:00,0.0,0.0,0.0,7185091.0
VHMLBKoKgIrUVDU,2020-05-19 02:15:00,0.0,0.0,0.0,7232554.0
WRmjgnKYAwPKWDb,2020-05-19 02:15:00,0.0,0.0,0.0,7054452.0
YxYtjZvoooNbGkE,2020-05-19 02:15:00,0.0,0.0,0.0,7205598.0
ZnxXDlPa8U1GXgE,2020-05-19 02:15:00,0.0,0.0,0.0,6548162.0
ZoEaEvLYb1n2sOq,2020-05-19 02:15:00,0.0,0.0,0.0,7123527.0
adLQvlD726eNBSB,2020-05-19 02:15:00,0.0,0.0,0.0,6297816.0
bvBOhCH3iADSZry,2020-05-19 02:15:00,0.0,0.0,0.0,6340538.0
iCRJl6heRkivqQ3,2020-05-19 02:15:00,0.0,0.0,0.0,7203767.0
ih0vzX44oOqAx2f,2020-05-19 02:15:00,0.0,0.0,0.0,6210487.0
pkci93gMrogZuBj,2020-05-19 02:15:00,0.0,0.0,0.0,7194411.0
rGa61gmuvPhdLxV,2020-05-19 02:15:00,0.0,0.0,0.0,7136902.0
sjndEbLyjtCKgGv,2020-05-19 02:15:00,0.0,0.0,0.0,7042405.0
uHbuxQJl8lW7ozc,2020-05-19 02:15:00,0.0,0.0,0.0,7064201.0
wCURE6d3bPkepu2,2020-05-19 02:15:00,0.0,0.0,0.0,6808393.0
