SOURCE_KEY,DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD
1BY6WEcLGh8j5v7,2020-05-18 00:00:00,0.0,0.0,0.0,6278650.0
1IF53ai7Xc0U56Y,2020-05-18 00:00:00,0.0,0.0,0.0,6204353.0
3PZuoBAID5Wc2HD,2020-05-18 00:00:00,0.0,0.0,0.0,7008483.0
7JYdWkrLSPkdwr4,2020-05-18 00:00:00,0.0,0.0,1881.5,7623063.0
McdE0feGgRqW7Ca,2020-05-18 00:00:00,0.0,0.0,0.0,7179627.0
VHMLBKoKgIrUVDU,2020-05-18 00:00:00,0.0,0.0,1929.25,7227097.0
WRmjgnKYAwPKWDb,2020-05-18 00:00:00,0.0,0.0,0.0,7049104.0
YxYtjZvoooNbGkE,2020-05-18 00:00:00,0.0,0.0,0.0,7200229.0
ZnxXDlPa8U1GXgE,2020-05-18 00:00:00,0.0,0.0,0.0,6542738.0
ZoEaEvLYb1n2sOq,2020-05-18 00:00:00,0.0,0.0,0.0,7118208.0
adLQvlD726eNBSB,2020-05-18 00:00:00,0.0,0.0,0.0,6292310.0
bvBOhCH3iADSZry,2020-05-18 00:00:00,0.0,0.0,0.0,6335576.0
iCRJl6heRkivqQ3,2020-05-18 00:00:00,0.0,0.0,0.0,7198367.0
ih0vzX44oOqAx2f,2020-05-18 00:00:00,0.0,0.0,0.0,6205201.0
pkci93gMrogZuBj,2020-05-18 00:00:00,0.0,0.0,0.0,7189047.0
rGa61gmuvPhdLxV,2020-05-18 00:00:00,0.0,0.0,0.0,7131537.0
sjndEbLyjtCKgGv,2020-05-18 00:00:00,0.0,0.0,0.0,7037054.0
uHbuxQJl8lW7ozc,2020-05-18 00:00:00,0.0,0.0,0.0,7058793.0
wCURE6d3bPkepu2,2020-05-18 00:00:00,0.0,0.0,0.0,6803000.0
z9Y9gH1T5YWrNuG,2020-05-18 00:00:00,0.0,0.0,1871.5,7028226.0
zBIq5rxdHJRwDNY,2020-05-18 00:00:00,0.0,0.0,0.0,6359657.0
zVJPv84UY57bAof,2020-05-18 00:00:00,0.0,0.0,0.0,7136015.0
1BY6WEcLGh8j5v7,2020-05-18 00:15:00,0.0,0.0,0.0,6278650.0
1IF53ai7Xc0U56Y,2020-05-18 00:15:00,0.0,0.0,0.0,6204353.0
3PZuoBAID5Wc2HD,2020-05-18 00:15:00,0.0,0.0,0.0,7008483.0
7JYdWkrLSPkdwr4,2020-05-18 00:15:00,0.0,0.0,0.0,7623063.0
McdE0feGgRqW7Ca,2020-05-18 00:15:00,0.0,0.0,0.0,7179627.0
