TIME,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17
01:00:00,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:45:00,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:30:00,84.8,68.8,44.28571429,72.2,16.425,67.5,,88.375,,70.68571429,68.41428571,70.9,81.85,76.57142857,95.91428571,66.75,79.3,94.675,46.17142857,58.875,69.7,53.21428571,71.625,75.37142857,81.425,79.6,80.85714286,35.22857143,34.27142857,56.25,62.7,93.475,67.14285714,
06:45:00,125.9625,107.7428571,81.55714286,110.8,70.62857143,92.15,,115.7571429,66.58333333,113.1625,111.6625,114.525,148.7142857,126.225,151.1375,115.8857143,100.8,151.7142857,77.4125,88.34285714,113.4142857,126.7625,138.2571429,139.7,106.7285714,133.6285714,128.5,51.15,66.3,100.9714286,103.9,141.8,97.6875,44.95
07:00:00,182.5857143,149.55,134.4375,163.8142857,239.75,155.7857143,,151.4428571,100.5571429,169.2714286,166.5285714,174.2714286,189.1714286,189.3857143,193.2285714,165.125,116.7857143,201.9714286,164.7285714,140.95,177.375,141.4714286,254.2125,171.6857143,151.55,212.975,193.4714286,77.14285714,90.11428571,169.6125,187.4857143,204.9625,139.9571429,134.575
07:15:00,198.225,191.3285714,236.0857143,260.1375,257.2428571,241.9375,,342.9625,202.1,233.7375,231.025,245.2625,187.675,255.1428571,194.1428571,215.0,129.6125,295.5,171.6,218.6571429,238.3142857,185.5875,334.6428571,179.525,184.7571429,254.5285714,245.2,115.4857143,101.875,251.3285714,309.0375,206.4285714,231.1875,205.8857143
